Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Librettist,Language,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Violin Pieces the Whole World Plays,,,,"Wier, Albert Ernest",,"None
[
force assignment
]",,60 (or more) pieces,,"1916 – New York:
D. Appleton & Co.",,,,,,Early 20th century,Romantic,"https://imslp.org/wiki/Violin_Pieces_the_Whole_World_Plays_(Wier,_Albert_Ernest)"
Collection for Violin Solo,,,,"André Jr., Anton",,"None
[
force assignment
]",,"39 pieces in 12 sets:
1st set:
1.
J. Gungl
, Warrior's Joy
2.  Captain Shepherd's Quickstep
2nd set:
3. La Manola
4. Pfeiffer, Henriette Polka
5. Evergreen Polka, or Schottische
3rd set:
6. Weber: Waltz from the opera
Oberon
7. Ludwig van Beethoven, The Desire Waltz
(caution: this seems to be a misattribution of an Original-Taenze by
Schubert
)
8. Hummel: The Favorite Joyful Waltz, with a Variation by Anton André Jr.
9. Mozart: Air from the opera
Die Entführung aus dem Serail
4th Set: (3 pieces)
10-12. Donizetti: A Selection of Favorite Airs from
Lucia di Lammermoor
5th Set: (4 pieces)
13-16. Donizetti: A Selection of Favorite Airs from
Lucia di Lammermoor
6th Set:
17. Vogler, Juvenile Dance
18. German Spring Polka
19. Wonderly, The Spring Song
7th Set:
20. Glover, Jeannette and Jeannot
21. Donizetti, Barcarole
22.
Labitzky
, The Elfes, A Favorite Waltz by Labitzky
8th Set:
23.
Paganini
:
Il carnevale di Venezia, Op.10
24. Youth Waltz
9th Set:
25. Labitzky, Homage Waltz
26.
Labitzky
:
Aurora Walzer, Op.34
10th Set:
27. Gungl (principal parts), Will-of-the-Wisp Waltz
28. Homeward Waltz
11th Set - Polkas:
29. Fashion Polka
30. Sontag's Favorite Polka or Schottische (possibly the Air from Alary's
Le tre nozze
?
31. The celebrated Sing! Sing! Schottische - New adaptation
32.
Beyer
:
Azalia Polka
33. Brother and Sister Schottische Violet Polka
34. Strauss, Jumping Polka, new adaptation for Violin
12th Set - Galops (Hérold, Strauss, Gungl, &c.):
35. Hérold: A Galop from
Zampa
36.
Strauss Sr.
:
Venetianer-Galopp, Op.74
37. The Cincinnati Sleigh-ride Galop
38. J. Gungl, The Wire Bridge Galop
39. Turkish Galop, adapted from an Opera of
Mozart",,1852,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Violin_Solos_(Andr%C3%A9_Jr.,_Anton)"
Violin-Terzette,,,,"Grünwald, Adolf",,"None
[
force assignment
]",,"4 volumes:
Vol.1
Luther
: Ein' feste Burg ist unser Gott
Die Binschgauer Wallfahrt
Mozart
: Menuett aus Don Juan
Mozart
: Arie aus Titus: Thränen..
Mozart
: Arie aus der Zauberflöte (1): Der Vogelfänger...
Mozart
: Arie aus der Zauberflöte  (2): Ein Mädchen...
Mozart
: Duet aus der Zauberflöte: Bei Männern..
Donizetti
: Barcarole aus l'Elisir d'amore: Holdes Kind...
Weber
: Lied aus Preciosa: Einsam bin ich..
Weber
: Jäger-Chor aus
Der Freischütz
Mendelssohn
: Volkslied: Es ist bestimmt..
Rossini
: Arie aus dem Barbier von Sevilla: Numero fünfzehn...
Bellini
: Romanze aus Romeo und Julie: Ach wie so oft..
Haydn
: Presto aus Quartett Op.33 No.2
Haydn
: Menuett aus Quartett Op.9 No.3
Vol.2
Haydn
: Menuett aus Quartett Op.71 No.2
Haydn
: Presto aus Quartett Op.9 No.3
Rossini
: Arie aus Der Barbier von Sevilla: Sieh' schon.
Weber
: Kommt ein schlanker from
Der Freischütz
Mendelssohn
: Lied: Auf Flügeln..(Op.34 No.2)
Schubert
: Lied: Ave Maria
Vol.3
Weber
: Chorus Euryanthe
Mendelssohn
: Song without Words No.4 (Op.19b No.4)
Haydn
: Serenade Op.3 No.5
Mozart
: Vedrai Carina Aria from Don Giovanni
Schubert
: Serenade
Mendelssohn
: Song without Words No.9 (Op.30 No.3)
Haydn
: Emperor’s Hymn Op.76 No.3
Schubert
: Impromptu in G major
Vol.4
Mendelssohn
: Song without Words Spring Song (Op.62 No.6)
Mozart
: Rondo from Piano Sonata no 3 in D major
Mendelssohn
: Song without Words in G minor
Haydn
: Finale from String Quartet Op.64 No.1
Beethoven
: Andante from Piano Sonata Op.14 No.2",,,,,,,,Romantic,Classical,"https://imslp.org/wiki/Violin-Terzette_(Gr%C3%BCnwald,_Adolf)"
La Virtuosité,,,,"Le Couppey, Félix",,IFL 11,,50 exercises,,"1878 – Paris:
J. Hamelle",,French,,,,Romantic,Romantic,"https://imslp.org/wiki/La_virtuosit%C3%A9_(Le_Couppey,_F%C3%A9lix)"
La virtuosité,,,,"Dumont, Félix",Op.44,"None
[
force assignment
]",,"30 studies
Ludwig van Beethoven
: Allegro (C major)
Domenico Scarlatti
: Presto (D minor)
Johann Sebastian Bach
: Andantino (C major)
Muzio Clementi
: Allegro (E minor)
Muzio Clementi
: Allegro (G major)
Ludwig van Beethoven
: Allegretto (D minor)
Johann Baptist Cramer
: Allegro (G major)
Muzio Clementi
: Presto (C minor)
Johann Baptist Cramer
: Allegro (C major)
Carl Maria von Weber
: Allegro (C major)
Wolfgang Amadeus Mozart
: Allegro (C major)
Franz Schubert
: Allegretto (A
♭
major)
Frédéric Chopin
: Allegro (C major)
Franz Schubert
: Andante (B
♭
major)
Muzio Clementi
: Allegro (D major)
Felix Mendelssohn
: Allegro (D minor)
Johann Nepomuk Hummel
: Allegro (C major)
Felix Mendelssohn
: Presto (D major)
Daniel Steibelt
: Allegro (E major)
John Field
: (C major)
George Frideric Handel
: Presto (G major)
Frédéric Chopin
: Allegretto (E minor)
Muzio Clementi
: Allegretto (B
♭
major)
Joseph Haydn
: Allegro (F major)
Jan Ladislav Dussek
: Allegro (D major)
Wolfgang Amadeus Mozart
: Andante (F major)
Jan Ladislav Dussek
: Andantino (G minor)
Ludwig van Beethoven
: Andantino (E
♭
major)
Jan Ladislav Dussek
: Andantino (G minor)
Carl Maria von Weber
: Allegro (C major)",,1877 – Paris: Marcel Colombier,,,"Publication noted in the
Bibliographie de la France
(2d Series, Vol.21, No.38, 22 September 1877, p.528, reg. no.2932).",Antoine François Marmontel,,Romantic,Romantic,"https://imslp.org/wiki/La_virtuosit%C3%A9,_Op.44_(Dumont,_F%C3%A9lix)"
Vortrags-Album,,,,"Klengel, Paul",,"None
[
force assignment
]",,"3 volumes
Vol.1
Bach
: Aria aus dem Notenbuch der Anna Magdalena Bach
Bach
: Bourrée I und II aus der Violoncell-Suite Nr. 3
Bach
: Sarabande aus der 2. Englischen Suite
Bach
: Courante aus der Violoncell-Suite Nr. I
Handel
: Adagio aus der 15. Sonate da Camera
Handel
: Gavotte aus dem 11. Orgelkonzert
Tenaglia
: Aria A-moll
Haydn
: Adagio aus dem Violoncell-Konzert
Haydn
: Serenade aus dem Streichquartett Op.3 No.5
Mozart
: Adagio aus der Sonate in B dur für Klavier zu 4 Händen
Mozart
: Gavotte aus der Ballettmusik Les petits riens
Beethoven
: Adagio aus der Sonate pathétique, Op.13
Vol. 2
Schubert
: Groβer Marsch, Op.40 No.5
Schubert
: Polonaise, Op. 61 No.3
Volkmann
: Minne aus Visegrád Op.21 No.4
Volkmann
: Aus den Liedern der Groβmutter I, Op.27 No.10
Volkmann
: Aus den Liedern der Groβmutter II, Op.27 No.8
Mendelssohn
: Aus den Kinderstücken I, Op.72 No.4
Mendelssohn
: Aus den Kinderstücken II, Op.72 No.5
Mendelssohn
: Lied ohne Worte II, Op.38 No.2
Schumann
: Aus dem Album für die Jugend, Op.68 No.26
Schumann
: Nordisches Lied aus dem Album für die Jugend, Op.68 No.41
Schumann
: Aus den Märchenbildern, Op.113 No.4
Schumann
: Träumerei aus den Kinderszenen, Op.15 No.7
Chopin
: Mazurka, Op.63 No.2
Chopin
: Walzer, Op.69 No.2
Vol. 3
Liszt
: Consolation Nr. 4
Liszt
: Consolation Nr. 5
Rubinstein
: Langsamer Satz aus der Sonate für Viola und Klavier Op 49
Sibelius
: Valse triste aus der Musik zu...Kuolema Op. 44
Klengel
:
Abendstimmung Op.10 Nr.3
Klengel
:
Und meine Seele spannte weit ihre Flügel aus (Op.39 No.2)
Klengel
:
Erhebung und Trost  (Op.39 No.3)
Bossi
:
Romanza As dur Op.89
Elgar
:
Sospiri, Op.70
Reger
:
Albumblatt (Blätter und Blüten, No.1)
Reger
:
Humoreske (Blätter und Blüten, No.2)
Reger
:
Melodie (Blätter und Blüten, No.6)",,"1920 – Leipzig:
Breitkopf & Härtel",,,,,,Romantic,Early 20th century,"https://imslp.org/wiki/Vortrags-Album_(Klengel,_Paul)"
12 Waltzes by Beethoven,,,,"Callcott, William Hutchins",,"None
[
force assignment
]",,"12 waltzes, published in 2 books of 6",,,,,,"Book 1: Miss and Miss Sarah Palmer
Book 2: the Misses Wedd",,Romantic,Romantic,"https://imslp.org/wiki/12_Waltzes_by_Beethoven_(Callcott,_William_Hutchins)"
Musikalisches Pfennig-Magazin für das Piano-Forte,,,,"Czerny, Carl",,"None
[
force assignment
]",,127 arrangements and original compositions by Czerny and others.,,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Wiener_Pfennig-Magazin_(Czerny,_Carl)"
Die Wundergeige,,,,"Seybold, Arthur",,"None
[
force assignment
]",,"6 volumes:
Book 1
Tchaikovsky
: Morgengebet, Op.39 No.1
Tchaikovsky
: Alfranzosisches Lied, Op.39 No.14
Krause
: Morgenstille, Op.82
J.E. Hummel: Der kleine Geiger, Op.546 No.4
Weidig
: Romanze : Op.5 No.1
Dahms
: An die Rose, Op.14
Lully
: Menuett
Durante
: Arie
Sokolovsky
: Lied ohne Worte, Op.3 No.3
Sokolovsky
: Frage, Op.3 No.4
Schubert
: Am Meer
Kron
: Stimme eines Engels, Op.105
Seybold
: Landler, Op.81 No.2
Seybold
: Jugendlust, Op.16
Seybold
: Weihnachtsfantasie, Op.89
Book 2
Fleischmann
: Notturno, Op.20
Gluck
: Reigen seliger Geister
Boccherini
: Menuett
Tchaikovsky
: Op.39 No.16
Tchaikovsky
: Drehorgelmann, Op.39 No.20
Tchaikovsky
: Träumerei
Pergolesi
: Siciliano
Weidig
: Barkarole, Op.5 No.2
Sokolovsky
: Op.3 No.6
Sokolovsky
: Melodie, Op.3 No.7
Sokolovsky
: Scherzo
Schubert
: Ständchen
Kron
: Ins Stammbuch, Op.103
Handel
: Largo aus Xerxes
Seybold
: Träumerei, Op.81 No.1
Seybold
: Im Mai. Op.91
Seybold
: Feierabend, Op.169
Book 3
Sinigaglia
: Berceuse from
4 Feuilles d'album
Tchaikovsky
: Nur wer die Sehnsucht kennt, Op.6
Tchaikovsky
: Chanson triste, Op.40 No.2
Schubert
: Impromptu, Op.13 No.1
Martini
: Gavotte
Donizetti
: Deh! non voler costringere de Bértiot, melodie italienne
Lange
: Blumenlied, Op.39
Dittersdorf
: Andante cantabile aus einem Streichquartett
Neruda
: Berceuse slave, Op.11
Singelée
: Fantasie Élégante, Op.98
Seybold
: Traumlied,
Suite folle, Op.166 No.2
Seybold
: Weihnacht, Op.79
Book 4
Mozart
: Quel sono
Schloming
: Berceuse, Op.2 No.2
Schumann
: Träumerei, Op.15 No.7
Schubert
: Allegretto grazioso, Op.13 No.3
Winter
: A torto ti lagno
Gossec
: Gavotte
Haydn
: Serenade
Singelée
: Fantaisie pastorale
Seybold
: Polonaise, Op.86
Seybold
: Spanische Weisen, Op.164
Book 5
Vaccai
: Prendimi teco
Simon
: Berceuse, Op.28 No.1
Seybold
: Dudelsack, Op.166 No.3
Nardini
: Larghetto from
Violin Sonata in D major, P.IX:2
Donizetti
: Die Regimentstochter, Fantasy (arr.
Singelée
) Op.30
Rubinstein
: Mélodie Op.2
Tchaikovsky
: Chant sans paroles Op.2 No.3
Arensky
: Berceuse, Op.30 No.3
Raff
: Cavatine, Op.85 No.3
Pente
: Romanza, Op.1
François Schubert
: Die Biene, Op.13 No.9
Wieniawski
: Dudziarz, Op.19
Book 6
Bach
:
Air
Tchaikovsky
:
Barcarolle
from The Seasons, Op.37 No.6 (arr. Seybold)
Tchaikovsky
:
Canzonetta
from the Violin Concerto, Op.35
Seybold
: Schuhplattler, Op.166 No.1
Pente
: Chanson polonaise, Op.2
Beethoven
: Romanze Op.50
Samuil Presman: Berceuse, Op.3 (ed. Seybold)
Leclair
: Sarabande und Tambourin (arr.
David
)
Wieniawski
:
Obertass
. Mazurka, Op.19
Wieniawski
: Légende, Op.17
Paganini
: Romanze
Vieuxtemps
: Rêverie, Op.22 No.3",,1920 ca.,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Die_Wundergeige_(Seybold,_Arthur)"
Allegretto and Mazurka,,,,"Chopin, Frédéric",KK.VIIb/7-8,IFC 123,see below,"2 sections:
Allegretto (A major, 24 bars)
Mazurka (D minor, 15 bars)","1835 ca. ?
First Perf
ormance
.
1992",1975 - Zurich: Schweizerische Musikzeitung,,,,,1 minute,Romantic,Romantic,"https://imslp.org/wiki/Allegretto_and_Mazurka_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Allegretto in F-sharp major,,,,"Chopin, Frédéric",WN 36,IFC 1,F-sharp major,Allegretto,1829-31 ca.,2006,,,,Leopoldine Blahetka,,Romantic,Romantic,"https://imslp.org/wiki/Allegretto_in_F-sharp_major_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Allegro de concert,"Allegro de concert, Op. 46
;
演奏会用アレグロ (ショパン)
;
Allegro di concerto op. 46",,"WorldCat
;
Wikipedia
;
VIAF
:
184700543
;
LCCN
:
n84089534
;
GND
:
300036744","Chopin, Frédéric",Op.46,IFC 2,A major,Allegro maestoso,1832 (1st version) ; 1841 (2nd version),1841 (December) – Paris: Schlesinger,,,,"A Mademoiselle
Friederike Müller
(1816–1895)",,Romantic,Romantic,"https://imslp.org/wiki/Allegro_de_concert,_Op.46_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Andante spianato et Grande polonaise brillante,"Andante spianato et Grande Polonaise brillante
;
Andante spianato et grande polonaise brillante
;
アンダンテ・スピアナートと華麗なる大ポロネーズ
;
Andante spianato y Gran Polonesa brillante
;
Andante spianato i Wielki Polonez (Chopin)
;
Andante spianato e Grande Polacca brillante op. 22
;
Andante spianato i gran polonesa brillant
;
Andante spianato και Μεγάλη Πολωνέζα μπριλάντε
;
平静的行板与华丽的大波兰舞曲
;
آندانته اسپیاناتو و گراند پلونز بریلیانت","Andante Spianato para piano y orquesta
;
Andante spianato y Gran Polonesa brillante (Chopin)
;
Andante spianato and Grande polonaise brillante
;
Grande polonaise brillante preceded by an Andante spianato
;
Grande polonaise brillante with preceding Andante spianato","WorldCat
;
Wikipedia
;
VIAF
:
179025422
;
LCCN
:
n81055334
;
GND
:
300037651
;
BNF
:
147906562
;
BNE
:
XX2087331","Chopin, Frédéric",Op.22,IFC 3,see below,"2 movements:
Andante spianato. Tranquillo (G major)
Grande polonaise brillante. Allegro molto (E
♭
major)","1831 (Grand polonaise brillante), 1834 (Andante spianato)",1836,,,,Frances Sarah d'Est,,Romantic,Romantic,"https://imslp.org/wiki/Andante_spianato_et_Grande_polonaise_brillante,_Op.22_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Andantino,,,,"Chopin, Frédéric",B.117,IFC 4,G minor,Lento,1838,1968,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Andantino,_B.117_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Ballade No.1,"Balada nº1
;
Ballade Nr. 1
;
バラード第1番
;
Ballada op. 23
;
Ballata n. 1 op. 23
;
Ballade nº 1
;
Балада № 1 (Шопен)
;
Ballade No. 1 in G minor
;
Ballade nr. 1
;
בלדה מס' 1 בסול מינור, אופוס 23
;
Balada para piano n.º 1 en sol menor op. 23
;
Ballade cung Sol thứ Op. 23
;
발라드 1번
;
Μπαλάντα αρ. 1 σε Σολ ελάσσονα, έργο 23
;
Баллада № 1 (Шопен)
;
第一号叙事曲","Balada No. 1 em Sol menor
;
Balada No. 1
;
Balada em Sol menor
;
Ballada g-moll op. 23
;
Op. 23
;
Balada n.º 1
;
בלדה מס' 1 בסול מינור
;
Ballade nr. 1 (Chopin)
;
Ballade No. 1","WorldCat
;
Wikipedia
;
VIAF
:
176412225
;
LCCN
:
no97073914
;
BNF
:
14822227k","Chopin, Frédéric",Op.23,IFC 5,G minor,1 ballad (Largo - Moderato),"1831? (first version), 1834-35? (final version)",1836,,,,A Mr. le Baron [Nathaniel] de Stockhausen (Hanover's ambassador to Paris),,Romantic,Romantic,"https://imslp.org/wiki/Ballade_No.1,_Op.23_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Ballade No.2,"Balada em Fá maior
;
Ballade Nr. 2
;
バラード第2番
;
בלדה מס' 2 בפה מז'ור, אופוס 38
;
Ballata n. 2 op. 38
;
Ballada op. 38 (Chopin)
;
Ballade No. 2 in F major, Op. 38
;
Ballade nr. 2 (Chopin)
;
Balada n.º 2 (Chopin)
;
발라드 2번
;
Μπαλάντα αρ. 2 σε Φα ελάσσονα, έργο 38
;
Balada No. 2 en Fa major, Op. 38
;
Ballade N° 2","Balada em Fa maior
;
בלדה מס' 2 בפה מז'ור
;
Op. 38","WorldCat
;
Wikipedia
;
VIAF
:
186105267
;
LCCN
:
no97075730
;
GND
:
300036779
;
BNF
:
14806063f","Chopin, Frédéric",Op.38,IFC 6,F major,1 ballade (Andantino - Presto con fuoco),1836-39,1839,,,,Robert Schumann,,Romantic,Romantic,"https://imslp.org/wiki/Ballade_No.2,_Op.38_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Ballade No.3,"Ballade No. 3 in A-flat major, Op. 47
;
Ballade Nr. 3
;
Balada n.º 3 op.47
;
Ballata n. 3 op. 47
;
Balada em Lá bemol maior (Chopin)
;
バラード第3番 (ショパン)
;
Ballada op. 47 (Chopin)
;
발라드 3번
;
Μπαλάντα αρ. 3 σε Λα ύφεση μείζονα, έργο 47
;
Ballade N°3","Balada n.º 3
;
Op. 47","WorldCat
;
Wikipedia
;
VIAF
:
301552296
;
LCCN
:
no97074811
;
GND
:
300036787
;
BNF
:
14806066g","Chopin, Frédéric",Op.47,IFC 7,A-flat major,1 ballad (Allegretto),1841,1841,,,,A Mlle. Pauline de Noailles,,Romantic,Romantic,"https://imslp.org/wiki/Ballade_No.3,_Op.47_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Ballade No.4,"Balada em Fá menor
;
バラード第4番
;
Ballada op. 52
;
Ballata n. 4 op. 52
;
Ballade Nr. 4
;
Ballade No. 4 in F minor, Op. 52
;
Balada para piano n.º 4 en fa menor op. 52
;
발라드 4번
;
Ballade No. 4 (Chopin)
;
Μπαλάντα αρ. 4 σε Φα ελάσσονα, έργο 52
;
Ballade n° 4","Balada em Fa menor
;
Op. 52","WorldCat
;
Wikipedia
;
VIAF
:
184092271
;
LCCN
:
no97074842
;
BNF
:
14806067t","Chopin, Frédéric",Op.52,IFC 8,F minor,1 ballade (Andante con moto),1842 (revised 1843),1843,,,,"A Mme. la Baronne C. de Rothschild (
Charlotte de Rothschild
, 1825–1899)",,Romantic,Romantic,"https://imslp.org/wiki/Ballade_No.4,_Op.52_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Barcarolle,"Barcarole
;
Barkarola (Chopin)
;
Баркарола (Шопен)
;
Barcarolle (Chopin)
;
Barkarol (Chopin)
;
舟歌 (ショパン)
;
Barcarola (Chopin)
;
Баркарола
;
Barcarola op. 60
;
뱃노래
;
بارکارل در فا دیز ماژور","Barcarole (Chopin)
;
Barcarola de Chopin
;
Barcarolle, Op. 60","WorldCat
;
Wikipedia
;
VIAF
:
173983022
;
LCCN
:
no95032889
;
GND
:
300036809","Chopin, Frédéric",Op.60,IFC 9,F-sharp major,Allegretto,1845-46,1846 – Paris: Brandus ; London: Wessel ; Leipzig: Breitkopf & Härtel,,,,A Mme. la Baronne de Stockhausen,,Romantic,Romantic,"https://imslp.org/wiki/Barcarolle,_Op.60_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Berceuse,"Berceuse (Chopin)
;
Колискова (Шопен)
;
子守歌 (ショパン)
;
搖籃曲
;
Колыбельная
;
Berceuse op. 57
;
Berceuse en re bemoll major","Berceuse de Chopin
;
Колыбельная (Шопен)","WorldCat
;
Wikipedia
;
LCCN
:
no95032887","Chopin, Frédéric",Op.57,IFC 10,D-flat major,Andante,1843-44,1844,,,,A Mlle. Elise Gavard,,Romantic,Romantic,"https://imslp.org/wiki/Berceuse,_Op.57_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Bolero,"Boléro (Chopin)
;
ボレロ (ショパン)
;
Bolero (Chopin)
;
Болеро
;
Bolero op. 19","Bolero de Chopin
;
Болеро (Шопен)
;
Boléro","WorldCat
;
Wikipedia
;
VIAF
:
176024936
;
LCCN
:
no99059425
;
GND
:
300036825
;
BNF
:
14801287s","Chopin, Frédéric",Op.19,IFC 11,A minor,Allegro molto,1833,"1834 – Paris: Pleyel / Leipzig:
C.F. Peters",,,"Publication noted in the
Bibliographie de la France
(23rd Year, No.44, 1 November 1834, p.704). — Pleyel? (
see below
)",A Mme. la Comtesse Émilie de Flahault,,Romantic,Romantic,"https://imslp.org/wiki/Bolero,_Op.19_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Bourrée No.1,"Bourrée No. 1
;
Bourréè n. 1",,,"Chopin, Frédéric",B.160b1,IFC 12,G major,Moderato,1846,"1968 by
Schott",,,,,,Romantic,Romantic,"https://imslp.org/wiki/Bourr%C3%A9e_No.1,_B.160b1_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Bourrée No.2,"Bourrée No. 2
;
Bourrée n. 2",,,"Chopin, Frédéric",B.160b2,IFC 13,A major,Moderato,1846,"1968 by
Schott
(edition by Ateş Orga (b.1944))",,,,,,Romantic,Romantic,"https://imslp.org/wiki/Bourr%C3%A9e_No.2,_B.160b2_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Canon in F minor,"Канон в фа миноре
;
Canone all'ottava",,,"Chopin, Frédéric",B.129a,IFC 14,F minor,fragment,1839,,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Canon_in_F_minor,_B.129a_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Cantabile in B-flat major,Cantabile,,,"Chopin, Frédéric",B.84,IFC 15,B-flat major,,1834,1931,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Cantabile_in_B-flat_major,_B.84_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Casta Diva,,,,"Chopin, Frédéric",D1/1,IFC 16,E major,,1831 ca.,2010 or before,,,,"for
Pauline Viardot
(1821–1910)",,Romantic,Romantic,"https://imslp.org/wiki/Casta_Diva_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Cello Sonata,"チェロソナタ
;
Sonata wiolonczelowa
;
Соната для виолончели и фортепиано
;
Cello Sonata (Chopin)
;
Соната для віолончелі і фортепіано
;
Sonate pour violoncelle et piano
;
Sonata per pianoforte e violoncello op. 65
;
Sonata per a violoncel
;
Sonate für Violoncello und Klavier
;
Սոնատ թավջութակի և դաշնամուրի համար (Շոպեն)
;
Violonçel Sonatası (Şopen)
;
첼로 소나타 (쇼팽)
;
Sonata para violonchelo (Chopin)","sonata op. 65
;
Sonata para violonchelo y piano en sol menor, Op. 65
;
Sonata for Cello and Piano in G minor, Op. 65
;
Sonate pour violoncelle et piano de Chopin
;
Sonate pour violoncelle et piano en sol mineur, op. 65","WorldCat
;
Wikipedia
;
VIAF
:
293204769
;
BNF
:
147988107","Chopin, Frédéric",Op.65,IFC 17,G minor,"4 movements:
Allegro moderato (G minor)
Scherzo (D minor)
Largo (B
♭
major)
Finale. Allegro (G minor)",1846-1847 (summer),"1847 – Paris:
Brandus
/ Leipzig:
Breitkopf und Härtel",,,,Auguste Franchomme,,Romantic,Romantic,"https://imslp.org/wiki/Cello_Sonata,_Op.65_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Contredanse in G -flat major,"Contradanza para piano (Chopin)
;
Contredanse in G-flat major, B. 17
;
Contredanse",,,"Chopin, Frédéric",B.17,IFC 18,G-flat major,Allegretto,1827 or 1829,1934,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Contredanse_in_G-flat_major,_B.17_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Czary,,,,"Chopin, Frédéric",B.51 ; KK. IVa/11,IFC 19,"D minor
Text Incipit
To są czary, pewno czary! Coś dziwnego w tym się święci",,1829 or 1830,1910,"Stefan Witwicki
(1801-1847)",Polish,,,3 minutes,Romantic,Romantic,"https://imslp.org/wiki/Czary,_B.51_(Chopin,_Fr%C3%A9d%C3%A9ric)"
3 Ecossaises,"エコセーズ (ショパン)
;
Three Écossaises, Op. posth. 72, No. 3
;
3 Scozzesi Op. 72 n. 3",,,"Chopin, Frédéric",Op.72 No.3,IFC 20,,"3 pieces:
Ecossaise in D major
Ecossaise in G major
Ecossaise in D-flat major",1826 (possibly 1829-30?),"1855 -
Berlin: Lienau (Schlesinger imprint)",,,,,,Romantic,Romantic,"https://imslp.org/wiki/3_Ecossaises,_Op.72_No.3_(Chopin,_Fr%C3%A9d%C3%A9ric)"
Etudes,"Étude Op. 10, No. 10
;
연습곡 10번
;
Etiuda op. 10 nr 10
;
Studio op. 10 n. 10
;
Estudi op. 10
;
Этюд оп. 10 № 10
;
Étude Op. 10, Nr. 10
;
Σπουδή Op. 10, No. 10
;
練習曲作品10-10
;
Étude op. 10, n° 10
;
Estudio Op. 10, n.º 10",,"WorldCat
;
Wikipedia
;
VIAF
:
176005986
;
LCCN
:
no97074174
;
BNF
:
14818259f","Chopin, Frédéric",Op.10,"IFC 21
Movements/Sections
Mov'ts/Sec's
12 studies:
1. Etude in C major, 'Waterfall'
2. Etude in A minor, 'Chromatique'
3. Etude in E major, 'Tristesse'
4. Etude in C-sharp minor, 'Torrent'
5. Etude in G-flat major, 'Black",,"12 studies:
1. Etude in C major, 'Waterfall'
2. Etude in A minor, 'Chromatique'
3. Etude in E major, 'Tristesse'
4. Etude in C-sharp minor, 'Torrent'
5. Etude in G-flat major, 'Black Keys'
6. Etude in E-flat minor, 'Lament'
7. Etude in C major, 'Toccata'
8. Etude in F major, 'Sunshine'
9. Etude in F minor
10. Etude in A-flat major
11. Etude in E-flat major, 'Arpeggio'
12. Etude in C minor, 'Revolutionary'",1829-32,1833,,,,"Franz Liszt
(1811–1886)",,Romantic,Romantic,"https://imslp.org/wiki/%C3%89tudes,_Op.10_(Chopin,_Fr%C3%A9d%C3%A9ric)"
