Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Librettist,Language,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
"Ach Gott, wie manches Herzeleid [II]","Ach Gott, wie manches Herzeleid
;
Ach Gott, wie manches Herzeleid BWV 58
;
Ach Gott","Ach Gott, wie manches Herzeleid (BWV 58)","WorldCat
;
Wikipedia
;
VIAF
:
184336307
;
LCCN
:
n88045321
;
GND
:
300972830","Bach, Johann Sebastian",BWV 58 ; BC A 26a-b,IJB 5,C major,"5 movements:
1. Aria and Chorale (soprano, bass): Ach Gott, wie manches Herzeleid (C major)
2. Recitative (bass): Verfolgt dich gleich die arge Welt (A minor-F major)
3. Aria (soprano): Ich bin vergnügt in meinem Leiden (D minor)
4. Recitative (soprano): Kann es dei Welt nicht lassen (F major-A minor)
5. Aria and Chorale (soprano, bass): Ich hab für mir ein schwere Reis (C major)","1727/1733-4 in Leipzig
First Perf
ormance
.
1727-01-05 in Leipzig",1863 (BGA),"see below
Martin Moller
(1546-1606) (No.1)
Christoph Birkmann
(1703-1771) (Nos.2-4)
Martin Behm
(1557-1622) (No.5)",German,,"1st Sunday after New Year
2nd Sunday after Christmas",14-15 minutes,Baroque,Baroque,"https://imslp.org/wiki/Ach_Gott,_wie_manches_Herzeleid,_BWV_58_(Bach,_Johann_Sebastian)"
"Ach Herr, mich armen Sünder","Ach Herr
;
Ach Herr, mich armen Sünder, רי""ב 135","Ach Herr, mich armen Sunder
;
Ach Herr, mich armen Suender","WorldCat
;
Wikipedia
;
VIAF
:
179222268
;
LCCN
:
no92015306
;
GND
:
300008287
;
BNF
:
13909488n","Bach, Johann Sebastian",BWV 135 ; BC A 100,IJB 6,E minor,"6 movements:
1. Chorus: Ach Herr, mich armen Sünder
2. Recitativo (tenor): Ach heile mich, du Arzt der Seelen
3. Aria (tenor): Tröste mir, Jesu, meine Gemüte
4. Recitativo (alto): Ich bin von Seufzen müde
5. Aria (bass): Weicht, all ihr Übeltäter
6. Chorale: Ehr sei ins Himmels Throne","1724 in Leipzig
First Perf
ormance
.
1724-06-25 in Leipzig",1881 (BGA),"see below
Anonymous (Nos.1-5)
Cyriakus Schneegass
(1546-1597) (No.6)",German,,3rd Sunday after Trinity,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Herr,_mich_armen_S%C3%BCnder,_BWV_135_(Bach,_Johann_Sebastian)"
"Ach Herr, mich armen Sünder",,,,"Bach, Johann Sebastian",BWV 742 ; BC K 173 ; Emans 11,IJB 932,D major,1 chorale prelude (21 bars),1704 ca.,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_Herr,_mich_armen_S%C3%BCnder,_BWV_742_(Bach,_Johann_Sebastian)"
"Ach lieben Christen, seid getrost",,,,"Bach, Johann Sebastian",BWV 256 ; BC F 212.3,IJB 990,A minor,1 chorale,1725 or before,"1784 in
Chörale der Sammlung C.P.E. Bach nach dem Druck von 1784-1787
(No.31)","Johannes Gigas
(1514-1581)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_lieben_Christen,_seid_getrost,_BWV_256_(Bach,_Johann_Sebastian)"
"Ach wie flüchtig, ach wie nichtig",Ach wie flüchtig,,"WorldCat
;
Wikipedia
;
VIAF
:
181430049
;
GND
:
300007043
;
BNF
:
13909563k","Bach, Johann Sebastian",BWV 26 ; BC A 162,IJB 7,A minor,"6 movements:
Chorale fantasia: Ach wie flüchtig, ach wie nichtig (A minor)
Aria (tenor): So schnell ein rauschend Wasser schießt (C major)
Recitativo (alto): Die Freude wird zur Traurigkeit (C major-E minor)
Aria (bass): An irdische Schätze das Herze zu hängen (E minor)
Recitativo (soprano): Die höchste Herrlichkeit und Pracht (G major-A minor)
Chorale: Ach wie flüchtig, ach wie nichtig (A minor)","1724 in Leipzig
First Perf
ormance
.
1724-11-19 in Leipzig",1855 (BGA),"see below
Michael Franck
(1609-1677) (Nos.1, 6)
Anonymous (Nos.2-5)",German,,24th Sunday after Trinity,19 minutes,Baroque,Baroque,"https://imslp.org/wiki/Ach_wie_fl%C3%BCchtig,_ach_wie_nichtig,_BWV_26_(Bach,_Johann_Sebastian)"
"Ach wie nichtig, ach wie flüchtig",,,,"Bach, Johann Sebastian",BWV 644 ; BC K 73,IJB 1011,G minor,1 chorale prelude,"1714 ca. in
Das Orgel-Büchlein
(No.46)",1846 at latest,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach_wie_nichtig,_ach_wie_fl%C3%BCchtig,_BWV_644_(Bach,_Johann_Sebastian)"
"Ach! ich sehe, itzt, da ich zur Hochzeit gehe","Ach! ich sehe
;
Ach! ich sehe, itzt, da ich zur Hochzeit gehe, רי""ב 162",,"WorldCat
;
Wikipedia
;
VIAF
:
181445072
;
LCCN
:
n81046715
;
GND
:
300008643
;
BNF
:
13909514c","Bach, Johann Sebastian",BWV 162 ; BC A 148,IJB 8,A minor,"6 movements:
Aria (bass): Ach! ich sehe, itzt, da ich zur Hochzeit gehe
Recitative (tenor): O großes Hochzeitfest
Aria (soprano): Jesu, Brunnquell aller Gnaden
Recitative (alto): Mein Jesu, laß mich nicht
Duetto Aria (alto, tenor): In meinem Gott bin ich erfreut
Chorale: Ach, ich habe schon erblicket","1715 in Weimar
First Perf
ormance
.
1716-10-25 in Weimar (1st Performance)
1723-10-10 in Leipzig (2nd Performance)",1887 (BGA),"see below
Salomo Franck
(1659-1725) (Nos.1-5)
Johann Rosenmüller
(1617-1684) (No.6)",German,,20th Sunday after Trinity,,Baroque,Baroque,"https://imslp.org/wiki/Ach!_ich_sehe,_itzt,_da_ich_zur_Hochzeit_gehe,_BWV_162_(Bach,_Johann_Sebastian)"
"Ach, daß nicht die letzte Stunde",,,,"Bach, Johann Sebastian",BWV 439 ; BC F 274,IJB 799,,1 sacred song,1735,"1736 in
Schemelli's Gesang-Buch
(No.831, p.564)","Erdmann Neumeister
(1671-1756)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach,_da%C3%9F_nicht_die_letzte_Stunde,_BWV_439_(Bach,_Johann_Sebastian)"
"Ach, lieben Christen, seid getrost",Ach,,"WorldCat
;
Wikipedia
;
VIAF
:
199701037
;
LCCN
:
n86130909
;
GND
:
300008074
;
BNF
:
13934588b","Bach, Johann Sebastian",BWV 114 ; BC A 139,IJB 9,G minor,"7 movements:
Chorus: Ach, lieben Christen, seid getrost (G minor)
Aria (tenor): Wo wird in diesem Jammertale (D minor)
Recitativo (bass): O Sünder, trage mit Geduld (G minor-D minor)
Choral (soprano): Kein Frucht das Weizenkörnlein bringt (G minor)
Aria (alto): Du machst, o Tod, mir nun nicht ferner bange (B
♭
major)
Recitativo (tenor): Indes bedenke deine Seele (G minor)
Chorale: Wir wachen oder schlafen ein (G minor)","1724 in Leipzig
First Perf
ormance
.
1724-10-01 in Leipzig (1st Performance)
1740-41 in Leipzig (2nd Performance)",1876 (BGA),"see below
Johannes Gigas
(1514-1581) (Nos.1, 4, 7)
Anonymous (Nos.2-3, 5, 7)",German,,17th Sunday after Trinity,26 minutes,Baroque,Baroque,"https://imslp.org/wiki/Ach,_lieben_Christen,_seid_getrost,_BWV_114_(Bach,_Johann_Sebastian)"
"Ach, was ist doch unser Leben",,,,"Bach, Johann Sebastian",BWV 743 ; Emans 17,IJB 933,A minor,1 chorale prelude (43 bars),1740 ca.,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach,_was_ist_doch_unser_Leben,_BWV_743_(Bach,_Johann_Sebastian)"
